"scenario"	"file_path"	"2"	"5"	"10"	"15"	"20"	"30"	"40"	"0"	"2"	"4"	"6"	"8"	"10"	"12"	"14"	"internal_loops"	"all_loops"	"dens_undirected"	"dens_directed"	"reciproc"	"transitivity_und"	"transitivity_dir"
"1"	"Random"	"Output Random 0 02_03_2021 10_11.txt"	15.8871315316758	92.6333797027785	357.838185157743	795.613225699155	1393.36883556383	3017.94607627878	5207.92149350407	0.914671399290645	0.689118132470472	0.701014398487994	0.943609572490794	1.04975248413313	0.96173986118756	0.995064602541139	0.999835321413717	0.0833333333333334	144	0.927272727272727	0.672727272727273	0.621621621621622	0.929577464788732	0.929577464788732
"2"	"Random"	"Output Random 1 02_03_2021 10_11.txt"	15.0397837824784	90.6343668360965	353.797181717556	783.127909818015	1363.39981258906	2999.49660376264	5234.59922642978	0.298905620590524	1.23302299882382	0.612070005270401	1.07409250685525	0.978775418662505	0.881246760930811	0.900723713641279	0.897634974411109	0.0901639344262295	122	0.872727272727273	0.663636363636364	0.684931506849315	0.858288770053476	0.858288770053476
"3"	"Random"	"Output Random 2 02_03_2021 10_11.txt"	15.6240230348374	94.1569021107296	361.742243310735	790.354598570969	1375.32473645584	2952.87448412038	5124.12399618318	0.573070596498459	0.927373769150109	1.00046251798993	0.990369978636892	0.933502649280571	0.901821491638741	0.892418517907851	0.782776946694563	0.125	152	0.909090909090909	0.736363636363636	0.765432098765432	0.899262899262899	0.899262899262899
"4"	"Random"	"Output Random 3 02_03_2021 10_11.txt"	16.3437289043217	95.7365464335563	367.596240211815	804.325490875833	1383.18666001513	2984.20803998033	5107.96883067375	1.35112320401926	0.88077855210868	0.821358089782413	1.03742724614138	0.838895939583141	0.954090253132589	1.07228274280226	0.801786895579166	0.106382978723404	141	0.909090909090909	0.627272727272727	0.550724637681159	0.909535452322738	0.909535452322738
"5"	"Random"	"Output Random 4 02_03_2021 10_11.txt"	15.5132080428917	92.1643828257616	356.956613351062	788.446411199826	1385.08494630913	3016.87012679517	5224.177093841	2.16799625981681	1.03986206932221	0.86924052576327	1.20936457734101	0.89472513665217	0.974134738577275	1.16829291887563	0.784153487794667	0.0921985815602837	141	0.945454545454546	0.690909090909091	0.631578947368421	0.943438914027149	0.943438914027149
"6"	"Random"	"Output Random 5 02_03_2021 10_11.txt"	15.6857808483924	94.7023352784155	365.107600059528	800.474986825607	1380.2251542158	2986.46876587699	5114.82711360224	1.50919947475115	1.03853335798064	1.06841063481815	1.10619391769628	0.883953894233523	0.837313596765422	0.810763964041513	1.08200799113265	0.145038167938931	131	0.872727272727273	0.645454545454545	0.647887323943662	0.858288770053476	0.858288770053476
"7"	"Random"	"Output Random 6 02_03_2021 10_11.txt"	14.8204775662315	95.084288323061	374.393515024	827.103802952061	1416.07470223041	2905.33498265858	4924.497885982	1.06850187745134	0.85906501730802	1.09097783808939	0.968598269403187	0.911198737216297	0.994070234380903	0.943476062299944	0.930193377869112	0.141843971631206	141	0.909090909090909	0.636363636363636	0.571428571428571	0.899262899262899	0.899262899262899
"8"	"Random"	"Output Random 7 02_03_2021 10_11.txt"	15.3383845008535	92.7167413659191	363.084782494746	802.037236845526	1390.79659984573	2978.56402401037	5115.59845627336	1.00340935103003	1.03199454545824	0.907094682523127	1.06496782654495	0.872735410754367	1.03432027698198	1.02303430604881	0.904804146929281	0.0677966101694916	118	0.890909090909091	0.681818181818182	0.693333333333333	0.880102040816326	0.880102040816326
"9"	"Random"	"Output Random 8 02_03_2021 10_11.txt"	15.6160649384868	94.5524142625623	365.867207269686	803.782956645681	1386.967282568	2963.36971537755	5087.5240824701	1.55208228301315	0.945830015265471	1.19453857434316	1.11949735374986	0.997103969394338	0.916750146041453	0.996608480146664	0.852316316410675	0.0675675675675675	148	0.872727272727273	0.663636363636364	0.684931506849315	0.861702127659574	0.861702127659574
"10"	"Random"	"Output Random 9 02_03_2021 10_11.txt"	16.5346269414859	96.6962709904888	361.920550373186	788.881605228039	1371.04293289373	2999.47288731082	5158.84406892279	1.05392855136686	0.955785914986535	0.915019643061746	1.0166573468045	0.807204312766166	1.04019032995341	1.05354041587606	0.885031645189066	0.118181818181818	110	0.818181818181818	0.6	0.636363636363636	0.824773413897281	0.824773413897281
"11"	"UNIFORM"	"Output UNIFORM 0 02_03_2021 10_11.txt"	17.6249364745631	111.532126378859	413.654468317739	874.059354163719	1460.64308744548	2938.13714844578	4984.06655459546	0.203173097701413	1.35998196252397	0.979087449815323	0.960648346126474	0.996948273067448	0.964994053789979	0.940959948879626	1.00010708519135	0.446280991735537	121	0.363636363636364	0.281818181818182	0.709677419354839	0.590163934426229	0.590163934426229
"12"	"UNIFORM"	"Output UNIFORM 1 02_03_2021 10_11.txt"	15.4635801437321	95.4881133857864	357.123991738304	786.359460649006	1361.62234034005	2954.16666120312	5081.83665158938	1.30625923427283	0.874236845761199	0.944624719373833	0.755762999559756	0.911837424798992	1.04206404218259	0.949948539667243	0.900960941134449	0.587155963302752	109	0.290909090909091	0.227272727272727	0.72	0.461538461538462	0.461538461538462
"13"	"UNIFORM"	"Output UNIFORM 2 02_03_2021 10_11.txt"	18.253465477061	109.736387723067	423.669455743273	903.368649195919	1515.67064903427	3172.15158471117	5359.8044580078	1.03388630938884	1.13986530585085	1.01437817201406	1.21570788551487	1.08694287268598	1.13761997791529	0.968638462355224	1.08892056752912	0.0866141732283464	127	0.890909090909091	0.636363636363636	0.6	0.887755102040816	0.887755102040816
"14"	"UNIFORM"	"Output UNIFORM 3 02_03_2021 10_11.txt"	44.5915679527414	198.278694118739	583.630478843907	1155.88210599219	1927.45617937425	3562.58761680293	4909.44879396864	0.524804431471756	1.05598086729313	0.988603793061762	0.929584107146461	0.999243238172712	1.01269897159118	0.939067634420416	0.961840078008673	0.0827067669172933	133	0.872727272727273	0.627272727272727	0.608695652173913	0.86968085106383	0.86968085106383
"15"	"UNIFORM"	"Output UNIFORM 4 02_03_2021 10_11.txt"	16.1147807032587	92.380707573579	354.146868596389	783.518544056414	1347.11184519033	2896.28662316823	4979.6732926167	1.16680395263233	0.795721905959942	0.923621082062771	0.997917376660872	0.8230542387875	1.0224264743996	0.87418909936332	0.807449360967453	0.122950819672131	122	0.836363636363636	0.654545454545455	0.722222222222222	0.842406876790831	0.842406876790831
"16"	"UNIFORM"	"Output UNIFORM 5 02_03_2021 10_11.txt"	15.1853139297583	93.6968371023304	365.275418166881	789.359080960817	1352.10457885399	2953.41098989372	5096.3251644798	1.18942828880726	1.01307006668233	0.922344221371976	0.882960239407139	0.863582056361023	0.84443367774324	1.05386487020189	0.934527495269909	0.517730496453901	141	0.418181818181818	0.345454545454545	0.789473684210526	0.576923076923077	0.576923076923077
"17"	"UNIFORM"	"Output UNIFORM 6 02_03_2021 10_11.txt"	46.7635281420146	197.38167198083	536.325867638284	1085.65343631692	1842.68189813455	3599.36506928434	5127.75813350398	1.26658041315406	0.948013856312937	0.977104350270971	1.07588985782599	0.850029840811856	0.965908641173581	0.881467585115444	0.897774465863924	0.11304347826087	115	0.745454545454545	0.518181818181818	0.56140350877193	0.795053003533569	0.795053003533569
"18"	"UNIFORM"	"Output UNIFORM 7 02_03_2021 10_11.txt"	26.6493686528633	146.679057681564	495.780378780683	1014.78573076143	1572.93509034089	2890.11610930964	4872.08061360208	1.82818381887697	1.67215430495663	1.4242457543857	1.11994591595509	1.09092550457741	1.0117738127642	0.998745210117372	0.859252149296512	0.0975609756097561	123	0.763636363636364	0.590909090909091	0.707692307692308	0.755244755244755	0.755244755244755
"19"	"UNIFORM"	"Output UNIFORM 8 02_03_2021 10_11.txt"	20.4221335084314	114.247660776849	419.557571380016	927.48030961615	1581.29013804549	3255.41129237196	5411.54566129048	0.880563971531655	1.11976810949154	1.05920300899946	0.938925888258528	0.799605076378439	0.822877437901409	0.852742410778598	0.895747630476518	0.110169491525424	118	0.854545454545454	0.581818181818182	0.53125	0.837988826815642	0.837988826815642
