"pf"	"scenario"	"node_ENV"	"node_LSF"	"node_CA"	"beh_excl"	"sigma_lsf"	"range_ca"	"param_mindens_ca"	"param_sigma_ca"
"1"	"Parameters Random 0 03_02_2021 15_31.txt"	"Random"	0.431325292354386	0.103057638541613	0.883285442183292	"True"	4.56331379239097	4.75840236083505	-5.69156795490515	1.392781232125
"2"	"Parameters Random 1 03_02_2021 15_31.txt"	"Random"	0.091640634712352	0.874396514798856	0.0810807019860601	"True"	7.89317230090267	8.52804739021813	-2.82065049127461	13.69749793421
"3"	"Parameters Random 10 03_02_2021 15_31.txt"	"Random"	0.927738296608903	0.863042680916981	0.756435176636235	"True"	0.838736904586891	12.0233251802659	-5.25718581396614	5.15719062426506
"4"	"Parameters Random 100 03_02_2021 15_31.txt"	"Random"	0.0880117013894249	0.135758007764114	0.972882452200978	"False"	3.48599995785112	2.27661892029231	8.73530266795293	12.7411985679076
"5"	"Parameters Random 1000 03_02_2021 15_32.txt"	"Random"	0.212247436305365	0.353876638459815	0.211888719051584	"True"	5.4771855668392	13.121353899358	-2.35931296236226	14.0519515522924
"6"	"Parameters Random 1001 03_02_2021 15_32.txt"	"Random"	0.264746236281795	0.727138417777364	0.547568770667502	"False"	4.39552127722288	11.8957758368846	9.78096561012664	8.81465140420584
"7"	"Parameters Random 1002 03_02_2021 15_32.txt"	"Random"	0.0850651392593023	0.562220860907333	0.400830809049527	"True"	1.65627901989961	8.75980318397613	-3.50417297345699	0.590196891727006
"8"	"Parameters Random 1003 03_02_2021 15_32.txt"	"Random"	0.581722489088837	0.767477958880735	0.818034464821928	"True"	3.47377281108913	2.70992895591073	1.93536867790518	11.0897078747081
"9"	"Parameters Random 1004 03_02_2021 15_32.txt"	"Random"	0.949484768125689	0.138040381651949	0.130476606686916	"True"	6.16452429318757	8.74175877594762	-8.1506418494959	8.61666564653942
"10"	"Parameters Random 1005 03_02_2021 15_32.txt"	"Random"	0.419112830881179	0.522363198790958	0.565687305270861	"True"	2.3968168296004	19.9494917524827	8.64542720150668	8.42454134254234
"11"	"Parameters Random 1006 03_02_2021 15_32.txt"	"Random"	0.782817632963628	0.908924713895383	0.823895170653234	"False"	9.65068876108185	5.6634743212302	0.169420736869327	6.61249844814077
